t,Cumulative_Probability
6.400000,0.959238
6.410000,0.959441
6.420000,0.959643
6.430000,0.959845
6.440000,0.960045
6.450000,0.960244
6.460000,0.960443
6.470000,0.960640
6.480000,0.960836
6.490000,0.961031
6.500000,0.961226
6.510000,0.961419
6.520000,0.961612
6.530000,0.961803
6.540000,0.961994
6.550000,0.962183
6.560000,0.962372
6.570000,0.962559
6.580000,0.962746
6.590000,0.962932
6.600000,0.963117
6.610000,0.963301
6.620000,0.963484
6.630000,0.963666
6.640000,0.963847
6.650000,0.964027
6.660000,0.964207
6.670000,0.964385
6.680000,0.964563
6.690000,0.964740
6.700000,0.964916
6.710000,0.965091
6.720000,0.965265
6.730000,0.965438
6.740000,0.965610
6.750000,0.965782
6.760000,0.965953
6.770000,0.966122
6.780000,0.966291
6.790000,0.966459
6.800000,0.966627
6.810000,0.966793
6.820000,0.966959
6.830000,0.967124
6.840000,0.967288
6.850000,0.967451
6.860000,0.967613
6.870000,0.967775
6.880000,0.967935
6.890000,0.968095
6.900000,0.968254
6.910000,0.968413
6.920000,0.968570
6.930000,0.968727
6.940000,0.968883
6.950000,0.969038
6.960000,0.969193
6.970000,0.969346
6.980000,0.969499
6.990000,0.969651
7.000000,0.969803
7.010000,0.969953
7.020000,0.970103
7.030000,0.970252
7.040000,0.970401
7.050000,0.970548
7.060000,0.970695
7.070000,0.970841
7.080000,0.970987
7.090000,0.971131
7.100000,0.971275
7.110000,0.971419
7.120000,0.971561
7.130000,0.971703
7.140000,0.971844
7.150000,0.971985
7.160000,0.972124
7.170000,0.972263
7.180000,0.972402
7.190000,0.972539
7.200000,0.972676
7.210000,0.972813
7.220000,0.972948
7.230000,0.973083
7.240000,0.973217
7.250000,0.973351
7.260000,0.973484
7.270000,0.973616
7.280000,0.973748
7.290000,0.973879
7.300000,0.974009
7.310000,0.974139
7.320000,0.974268
7.330000,0.974396
7.340000,0.974524
7.350000,0.974651
7.360000,0.974777
7.370000,0.974903
7.380000,0.975028
7.390000,0.975153
7.400000,0.975277
7.410000,0.975400
7.420000,0.975523
7.430000,0.975645
7.440000,0.975766
7.450000,0.975887
7.460000,0.976007
7.470000,0.976127
7.480000,0.976246
7.490000,0.976364
7.500000,0.976482
7.510000,0.976600
7.520000,0.976716
7.530000,0.976833
7.540000,0.976948
7.550000,0.977063
7.560000,0.977177
7.570000,0.977291
7.580000,0.977405
7.590000,0.977517
7.600000,0.977629
7.610000,0.977741
7.620000,0.977852
7.630000,0.977962
7.640000,0.978072
7.650000,0.978182
7.660000,0.978291
7.670000,0.978399
7.680000,0.978507
7.690000,0.978614
7.700000,0.978720
7.710000,0.978827
7.720000,0.978932
7.730000,0.979037
7.740000,0.979142
7.750000,0.979246
7.760000,0.979349
7.770000,0.979452
7.780000,0.979555
7.790000,0.979657
7.800000,0.979758
7.810000,0.979859
7.820000,0.979960
7.830000,0.980060
7.840000,0.980159
7.850000,0.980258
7.860000,0.980357
7.870000,0.980455
7.880000,0.980552
7.890000,0.980649
7.900000,0.980746
7.910000,0.980842
7.920000,0.980937
7.930000,0.981032
7.940000,0.981127
7.950000,0.981221
7.960000,0.981315
7.970000,0.981408
7.980000,0.981501
7.990000,0.981593
8.000000,0.981685
8.010000,0.981776
8.020000,0.981867
8.030000,0.981957
8.040000,0.982047
8.050000,0.982137
8.060000,0.982226
8.070000,0.982315
8.080000,0.982403
8.090000,0.982491
8.100000,0.982578
8.110000,0.982665
8.120000,0.982751
8.130000,0.982838
8.140000,0.982923
8.150000,0.983008
8.160000,0.983093
8.170000,0.983177
8.180000,0.983261
8.190000,0.983345
8.200000,0.983428
8.210000,0.983511
8.220000,0.983593
8.230000,0.983675
8.240000,0.983756
8.250000,0.983837
8.260000,0.983918
8.270000,0.983998
8.280000,0.984078
8.290000,0.984157
8.300000,0.984236
8.310000,0.984315
8.320000,0.984393
8.330000,0.984471
8.340000,0.984549
8.350000,0.984626
8.360000,0.984702
8.370000,0.984779
8.380000,0.984855
8.390000,0.984930
8.400000,0.985005
8.410000,0.985080
8.420000,0.985155
8.430000,0.985229
8.440000,0.985302
8.450000,0.985376
8.460000,0.985449
8.470000,0.985521
8.480000,0.985594
8.490000,0.985665
8.500000,0.985737
8.510000,0.985808
8.520000,0.985879
8.530000,0.985949
8.540000,0.986020
8.550000,0.986089
8.560000,0.986159
8.570000,0.986228
8.580000,0.986297
8.590000,0.986365
8.600000,0.986433
8.610000,0.986501
8.620000,0.986568
8.630000,0.986635
8.640000,0.986702
8.650000,0.986768
8.660000,0.986834
8.670000,0.986900
8.680000,0.986965
8.690000,0.987030
8.700000,0.987095
8.710000,0.987160
8.720000,0.987224
8.730000,0.987287
8.740000,0.987351
8.750000,0.987414
8.760000,0.987477
8.770000,0.987539
8.780000,0.987602
8.790000,0.987664
8.800000,0.987725
8.810000,0.987786
8.820000,0.987847
8.830000,0.987908
8.840000,0.987969
8.850000,0.988029
8.860000,0.988088
8.870000,0.988148
8.880000,0.988207
8.890000,0.988266
8.900000,0.988325
8.910000,0.988383
8.920000,0.988441
8.930000,0.988499
8.940000,0.988556
8.950000,0.988613
8.960000,0.988670
8.970000,0.988727
8.980000,0.988783
8.990000,0.988839
9.000000,0.988895
9.010000,0.988950
9.020000,0.989006
9.030000,0.989061
9.040000,0.989115
9.050000,0.989170
9.060000,0.989224
9.070000,0.989278
9.080000,0.989331
9.090000,0.989385
9.100000,0.989438
9.110000,0.989490
9.120000,0.989543
9.130000,0.989595
9.140000,0.989647
9.150000,0.989699
9.160000,0.989751
9.170000,0.989802
9.180000,0.989853
9.190000,0.989904
9.200000,0.989954
9.210000,0.990004
9.220000,0.990055
9.230000,0.990104
9.240000,0.990154
9.250000,0.990203
9.260000,0.990252
9.270000,0.990301
9.280000,0.990349
9.290000,0.990398
9.300000,0.990446
9.310000,0.990494
9.320000,0.990541
9.330000,0.990589
9.340000,0.990636
9.350000,0.990683
9.360000,0.990730
9.370000,0.990776
9.380000,0.990822
9.390000,0.990868
9.400000,0.990914
9.410000,0.990960
9.420000,0.991005
9.430000,0.991050
9.440000,0.991095
9.450000,0.991140
9.460000,0.991184
9.470000,0.991228
9.480000,0.991272
9.490000,0.991316
9.500000,0.991360
9.510000,0.991403
9.520000,0.991446
9.530000,0.991489
9.540000,0.991532
9.550000,0.991575
9.560000,0.991617
9.570000,0.991659
9.580000,0.991701
9.590000,0.991743
9.600000,0.991784
9.610000,0.991826
9.620000,0.991867
9.630000,0.991908
9.640000,0.991949
9.650000,0.991989
9.660000,0.992029
9.670000,0.992070
9.680000,0.992110
9.690000,0.992149
9.700000,0.992189
9.710000,0.992228
9.720000,0.992268
9.730000,0.992307
9.740000,0.992345
9.750000,0.992384
9.760000,0.992423
9.770000,0.992461
9.780000,0.992499
9.790000,0.992537
9.800000,0.992575
9.810000,0.992612
9.820000,0.992650
9.830000,0.992687
9.840000,0.992724
9.850000,0.992761
9.860000,0.992797
9.870000,0.992834
9.880000,0.992870
9.890000,0.992906
9.900000,0.992942
9.910000,0.992978
9.920000,0.993014
9.930000,0.993050
9.940000,0.993085
9.950000,0.993120
9.960000,0.993155
9.970000,0.993190
9.980000,0.993225
9.990000,0.993259
10.000000,0.993294
